Sequence,Mmenonic ,Job Title,Experience Level,Minimum Educational Degree,Job Role,Work Model,Location,Compensation,Company,Keywords Original,Keywords Processed,Soft Skills,Technical Skills
71,HPC-Linux-SysEngineer-BenGurion,HPC & Linux Systems Engineer - Ben-Gurion University,Mid-level,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,Ben-Gurion University,"Linux, Docker, Slurm, Kubernetes, Python, Bash, Ansible, Foreman, Shell scripting, GitHub, GPU performance","Linux, Docker, Slurm, Kubernetes, Python, Bash, Ansible, Foreman, Bash",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Containerization & Orchestration, Automation, Performance Optimization"
72,HPC-AI-Specialist-AI4I-Turin,"HPC / AI Specialist - AI4I (Turin, Italy)",Senior,Not mentioned,HPC Systems Engineer,Hybrid,Europe,$0,AI4I,"Linux, NVIDIA B200, VAST, Slurm, Bash, Python, GPU, AI training, distributed storage, HPC clusters","Linux, VAST, Slurm, Bash, Python","Communication, Teamwork, Problem-solving, Adaptability, Customer Focus","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, User Support & Training, Performance Optimization"
75,Senior-HPC-AI-Cluster-Admin-Accenture,Senior HPC and AI Cluster Administrator - Accenture Federal Services,Senior,Bachelor's degree,HPC Systems Engineer,Onsite,North America,$0,Accenture Federal Services,"Slurm, Kubernetes, Linux (Redhat, Ubuntu), Lustre, GPFS, zfs, xfs, Python, Bash, GitOps, InfiniBand, Ethernet, VMware, Hyper-V, KVM, AWS, Azure, RDMA, Docker, Apache Airflow, Prefect, Dagster, NVIDIA, DISA STIG, CIS","Slurm, Kubernetes, Linux, Lustre, GPFS, zfs, xfs, Python, Bash, InfiniBand, Ethernet, KVM, RDMA, Docker, Apache Airflow, Prefect, Dagster",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Cloud Computing, Automation, Security & Compliance, Monitoring & Observability, Performance Optimization"
81,HPC-Support-Engineer-SAIC-GoldenDome,HPC Support Engineer - SAIC,Senior,Bachelor's degree,HPC Systems Engineer,Onsite,North America,$0,SAIC,"Slurm, PBS, PBS Pro, Torque, Grid Engine, MPI, OpenMP, C/C++, Fortran, GCC, Intel, LLVM, CUDA, Linux (RHEL), Bash, Python, RDMA, InfiniBand","Slurm, PBS, Torque, Grid Engine, MPI, OpenMP, C, C++, Fortran, GCC, LLVM, CUDA, Linux, Bash, Python, RDMA, InfiniBand",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, User Support & Training, Performance Optimization"
84,HPC-Systems-Engineer-SAIC-GoldenDome,HPC Systems Engineer - SAIC,Senior,Bachelor's degree,HPC Systems Engineer,Onsite,North America,$0,SAIC,"Slurm, PBS, PBS Pro, Torque, Grid Engine, MPI, OpenMP, CUDA, Linux (RHEL), Bash, Python, xCAT, Warewulf, Docker, Podman, Singularity, Apptainer, RDMA, InfiniBand, Ansible, Puppet, Lustre, BeeGFS, GPFS","Slurm, PBS, Torque, Grid Engine, MPI, OpenMP, CUDA, Linux, Bash, Python, xCAT, Warewulf, Docker, Podman, Apptainer, RDMA, InfiniBand, Ansible, Puppet, Lustre, BeeGFS, GPFS",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Security & Compliance, Performance Optimization"
85,HPC-Operations-Engineer-NVIDIA-India,HPC Operations Engineer - NVIDIA (India),Entry-level,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,NVIDIA,"Linux (RHEL/CentOS, Ubuntu), LSF, Slurm, Bash, Python, NFS, automounter, LDAP, EDA","Linux, LSF, Slurm, Bash, Python, NFS","Communication, Problem-solving","System Administration, Cluster Administration, Storage & Data Management, Networking & Infrastructure, User Support & Training, Performance Optimization"
89,Senior-HPC-Infra-Engineer-Firmus,Senior HPC Infrastructure Engineer - Firmus Technologies,Senior,Bachelor's degree,HPC Systems Engineer,Onsite,Oceania,$0,Firmus Technologies,"Ironic, Kubernetes CRDs, Slurm, RDMA, InfiniBand, RoCE, NVIDIA (H100/H200), CUDA, NCCL, UCX, GPUDirect, MLPerf, Docker, Enroot, Singularity, Podman, Ansible, Helm, Terraform/OpenTofu, Go, Bash, Rust, Python, Metal3, OpenStack Ironic, MaaS, xCAT, NVLink, NVSwitch, PCIe, BIOS, BMC, IPMI, Redfish","Ironic, Kubernetes, Slurm, RDMA, InfiniBand, RoCE, CUDA, NCCL, UCX, GPUDirect, MLPerf, Docker, Enroot, Apptainer, Podman, Ansible, Helm, Terraform, OpenTofu, Go, Bash, Rust, Python, Metal3, OpenStack, xCAT, NVLink, BMC, Redfish","Communication, Teamwork, Self-motivation, Adaptability","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Monitoring & Observability, Project & Team Leadership, Performance Optimization"
91,Senior-HPC-Operations-Core42-AbuDhabi,Senior Engineer - HPC Operations - Core42 (Abu Dhabi),Senior,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,Core42,"Slurm, Kubernetes, Docker, Kubernetes, MLflow, Kubeflow, Prometheus, Grafana, DCGM, Python, Bash, Ansible, Terraform, Linux (RHEL/CentOS/Ubuntu), RDMA, InfiniBand, RoCE, NFS, Lustre, Ceph","Slurm, Kubernetes, Docker, MLflow, Kubeflow, Prometheus, Grafana, DCGM, Python, Bash, Ansible, Terraform, Linux, RDMA, InfiniBand, RoCE, NFS, Lustre, Ceph","Leadership, Communication, Teamwork, Problem-solving, Mentorship","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Security & Compliance, Monitoring & Observability, Project & Team Leadership, Performance Optimization"
94,HPC-AI-Cluster-Engineer-NVIDIA-Beijing,HPC and AI Cluster Engineer - NVIDIA (Beijing),Mid-level,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,NVIDIA,"Slurm, K8s, Linux (Redhat, CentOS, Ubuntu), Windows, Python, Bash, Jenkins, Ansible, Gitops, VMware, Hyper-V, KVM, Lustre, GPFS, zfs, xfs, RDMA, InfiniBand, RoCE, Docker, Kubernetes, DGX, CUDA","Slurm, Kubernetes, Linux, Windows Server, Python, Bash, Jenkins, Ansible, KVM, Lustre, GPFS, zfs, xfs, RDMA, InfiniBand, RoCE, Docker, Kubernetes, CUDA, AWS, GCP, Azure",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Security & Compliance, Performance Optimization"
96,HPC-Systems-Engineer-KLA-Singapore,HPC Systems Engineer - KLA (Singapore),Senior,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,KLA,"InfiniBand, Ethernet, DDR4/DDR5, DIMM, LPDDR, HBM, Linux (SUSE Linux), HPC, distributed systems","InfiniBand, Ethernet, Linux","Communication, Teamwork, Problem-solving, Self-motivation","System Administration, Cluster Administration, Storage & Data Management, Networking & Infrastructure, Performance Optimization"
98,Senior-HPC-Cluster-Engineer-Nebius,Senior HPC Cluster Engineer - Nebius,Senior,Not mentioned,HPC Systems Engineer,Remote,Europe,$0,Nebius,"GPU, InfiniBand, KVM, QEMU, PCIe, NICs, Linux OS/Kernel, HPC, C, C++, Go, Python, RDMA, RoCE, PyTorch, TensorFlow, MPI, NCCL","InfiniBand, KVM, QEMU, Linux, C, C++, Go, Python, RDMA, RoCE, PyTorch, TensorFlow, MPI, NCCL",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Coding & Software Development, Performance Optimization"
100,Senior-HPC-AI-Operations-NVIDIA-Israel,Senior HPC and AI Operation Engineer - NVIDIA (Israel),Senior,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,NVIDIA,"Slurm, K8s, Linux (Redhat, CentOS, Ubuntu), Windows, Python, Bash, Jenkins, Ansible, Gitops, Lustre, GPFS, zfs, xfs, InfiniBand, Ethernet, VMware, Hyper-V, KVM, AWS, Azure, Google Cloud, DGX, CUDA, RDMA, RoCE","Slurm, Kubernetes, Linux, Windows Server, Python, Bash, Jenkins, Ansible, Lustre, GPFS, zfs, xfs, InfiniBand, Ethernet, KVM, CUDA, RDMA, RoCE, AWS, GCP, Azure",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Security & Compliance, Performance Optimization"
103,DataCenter-Engineer-HPC-NVIDIA-Israel,"Data Center Engineer, HPC and AI - NVIDIA (Israel)",Mid-level,Not mentioned,HPC Systems Engineer,Onsite,Asia,$0,NVIDIA,"MCSE, MCITP, CCNA, Linux, Windows, DHCP, DNS, NIS, AD, Bash, Python, Ansible, puppet, Jenkins, Slurm, KVM, VMware, Hyper-V, L2, L3","Linux, Windows Server, Bash, Python, Ansible, puppet, Jenkins, Slurm, KVM, Hyper-V","Communication, Teamwork, Self-motivation, Problem-solving","System Administration, Networking & Infrastructure, Containerization & Orchestration, Automation, Security & Compliance"
55,HPC-Technologist-Segmentation,HPC Technologist,Senior,Not mentioned,HPC Solutions Architect,Not mentioned,Europe,$0,Not mentioned,"Kubernetes, OpenShift, GPU, RDMA, SR-IOV, NVIDIA vGPU, MIG, Slurm, IaaS, SDN, confidential computing","Kubernetes, OpenShift, RDMA, SR-IOV, MIG, Slurm",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Containerization & Orchestration, Security & Compliance, Performance Optimization"
56,HPC-Technologist-Hybrid-Env,HPC Technologist - Hybrid HPC Environment,Senior,Bachelor's degree,HPC Solutions Architect,Hybrid,Europe,$0,Not mentioned,"Linux/Unix, Slurm, Kubernetes, OpenStack, Python, C++, Bash, NVIDIA-based clusters, JupyterHub, Open OnDemand","Linux, Slurm, Kubernetes, OpenStack, Python, C++, Bash, JupyterHub, Open OnDemand","Communication, Teamwork, Problem-solving, Mentorship, Customer Focus, Time Management","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Cloud Computing, User Support & Training, Project & Team Leadership, Performance Optimization"
57,HPC-Cluster-Architect-Nexgen,HPC Cluster Architect - Nexgen Cloud,Senior,Not mentioned,HPC Solutions Architect,Remote,Europe,$0,Nexgen Cloud,"NVIDIA GPU (H100/H200/B-series), InfiniBand, RDMA, NVLink, NVSwitch, Spectrum-X, Ethernet, Linux, PCIe, NUMA, NCCL, MLPerf","InfiniBand, RDMA, NVLink, Spectrum-X, Ethernet, Linux, NCCL, MLPerf","Leadership, Communication, Teamwork, Customer Focus, Stakeholder Management","System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Monitoring & Observability, Project & Team Leadership, Performance Optimization"
105,Senior-HPC-Engineer-NVIDIA-Shenzhen,Senior HPC Engineer - NVIDIA (Shenzhen),Senior,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,NVIDIA,"Linux System Administration, Slurm, LSF, UGE, InfiniBand, Ethernet, GPU, MPI, Ansible, Salt, Puppet, Kubernetes","Slurm, LSF, UGE, InfiniBand, Ethernet, MPI, Ansible, Salt, Puppet, Kubernetes","Communication, Teamwork, Problem-solving, Self-motivation, Time Management","System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Automation, Containerization & Orchestration, Performance Optimization"
58,HPC-Specialist-Architect-AWS-Energy,HPC Specialist Architect - AWS Energy & Utilities,Senior,Bachelor's degree,HPC Solutions Architect,Hybrid,Global,$0,AWS,"Slurm, Torque, Symphony, GridServer, C++, Python, CUDA, Bash, MPI (OpenMPI, MPICH), OpenMP, OpenACC, AWS (CloudFormation, CDK)","Slurm, Torque, Symphony, GridServer, C++, Python, CUDA, Bash, MPI, OpenMP, OpenACC","Communication, Teamwork, Adaptability, Customer Focus, Problem-solving","System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Cloud Computing, User Support & Training, Performance Optimization"
110,Senior-SRE-HPC-LSF-NVIDIA-Bangalore,"Senior Site Reliability Engineer, HPC and LSF - NVIDIA (Bangalore)",Senior,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,NVIDIA,"IBM Spectrum LSF, Slurm, Centos, RHEL, Docker, UNIX scripting, Python, Ansible, Perl, HPC, EDA","LSF, Slurm, Linux, Docker, Python, Ansible, Perl","Communication, Teamwork, Problem-solving, Adaptability","System Administration, Cluster Administration, Containerization & Orchestration, Automation, Monitoring & Observability, Performance Optimization"
111,Systems-Engineer-HPC-Mistral-US-Canada,"Systems Engineer, HPC (US & Canada) - Mistral (New York)",Senior,Not mentioned,HPC Systems Engineer,Remote,Global,$0,Mistral AI,"PBS Professional, Torque, Slurm, Python, Bash, Go, Rust, MPI (OpenMPI, MPICH), Lustre, Ansible, Puppet, CI/CD, APIs, cloud (AWS, Azure, GCP), Kubernetes, STIGs, NIST, LDAP, Kerberos, RBAC","PBS, Torque, Slurm, Python, Bash, Go, Rust, MPI, Lustre, Ansible, Puppet, Kubernetes, Kerberos",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Security & Compliance, Performance Optimization"
114,HPC-Storage-Consultant-HPE-Dubai,HPC and Storage Technology Consultant - HPE (Dubai),Mid-level,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,HPE,"Linux/Unix, HPC, Cray EX Liquid cooled, NVL72, DDN, Red Hat, Cool IT, Nvidia",Linux,"Communication, Teamwork, Adaptability, Customer Focus, Self-motivation","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, User Support & Training, Performance Optimization"
64,HPC-Storage-Compute-Architect-KLA,HPC Storage and Compute Architect - KLA,Senior,Bachelor's degree,HPC Solutions Architect,Onsite,North America,$175,KLA,"Lustre, GPFS, BeeGFS, Linux (Rocky, RHEL, SuSE, Ubuntu), Shell, Python, Salt, Ansible, Puppet, Chef, CI/CD, Git, Singularity, Docker, Prometheus, Grafana, Apache, Nginx, PXE/netboot, systemd, HA, TCP/IP, DNS, DHCP, LDAP, HTTP","Lustre, GPFS, BeeGFS, Linux, Bash, Python, Salt, Ansible, Puppet, Chef, Git, Apptainer, Docker, Prometheus, Grafana, Apache, Nginx","Leadership, Communication, Teamwork, Problem-solving","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Monitoring & Observability, Project & Team Leadership, Performance Optimization"
115,HPC-Storage-Consultant-HPE-AbuDhabi,HPC and Storage Technology Consultant - HPE (Abu Dhabi),Mid-level,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,HPE,"Linux/Unix, HPC, Cray EX Liquid cooled, NVL72, DDN, Red Hat, Cool IT, Nvidia0",Linux,"Communication, Teamwork, Adaptability, Customer Focus, Self-motivation","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, User Support & Training, Performance Optimization"
63,AI-HPC-Architect-TSMC,AI HPC Architect - TSMC,Lead,Not mentioned,HPC Solutions Architect,Onsite,Asia,$0,TSMC,"AI, Machine Learning, HPC architectures, GPU acceleration (CUDA), parallel processing (MPI, OpenMP), Python, C++, Java, Bash, PowerShell, Linux/UNIX","Python, C++, Java, Bash, PowerShell, Linux, MPI, OpenMP, CUDA","Communication, Teamwork, Adaptability, Stakeholder Management","Cluster Administration, GPU & Accelerated Computing, Coding & Software Development, Project & Team Leadership, Performance Optimization"
117,Senior-HPC-DevOps-Engineer-NVIDIA-Israel,Senior HPC DevOps Engineer - NVIDIA (Israel),Senior,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,NVIDIA,"Slurm, Kubernetes, InfiniBand, Ethernet, Lustre, GPFS, ZFS, XFS, VMware, Hyper-V, KVM, Citrix, AWS, Azure, Google Cloud, Jenkins, Ansible, Puppet, Chef, Python, Bash, Windows, Linux (Redhat, CentOS, Ubuntu), DGX, CUDA, RDMA, RoCE","Slurm, Kubernetes, InfiniBand, Ethernet, Lustre, GPFS, ZFS, XFS, KVM, Jenkins, Ansible, Puppet, Chef, Python, Bash, Windows Server, Linux, CUDA, RDMA, RoCE, AWS, GCP, Azure","Leadership, Communication, Teamwork, Adaptability","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Security & Compliance, Project & Team Leadership, Performance Optimization"
127,Senior-HPC-Cluster-Engineer-Jobgether-Switzerland,Senior HPC Cluster Engineer - Jobgether (Switzerland),Senior,Not mentioned,HPC Systems Engineer,Remote,Europe,$0,Jobgether,"GPU, InfiniBand, KVM, QEMU, Kubernetes, PCIe, NICs, Linux, C, C++, Go, Python, MPI, NCCL, HPC, distributed systems","InfiniBand, KVM, QEMU, Kubernetes, Linux, C, C++, Go, Python, MPI, NCCL","Leadership, Communication, Teamwork, Adaptability, Problem-solving","System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Containerization & Orchestration, Coding & Software Development, Performance Optimization"
66,RISC-V-AI-HPC-Engineer-Tenstorrent-TW,RISC-V AI / HPC & Agentic Software Engineering Lead - Tenstorrent (Taiwan),Senior,Not mentioned,HPC Software Engineer,Remote,Asia,$0,Tenstorrent,"RISC-V, HPC, AI, C/C++, LLVM, GCC, vectorization, agentic AI frameworks, runtime orchestration, distributed execution systems","RISC-V, C, C++, LLVM, GCC",None explicitly mentioned,"Cluster Administration, GPU & Accelerated Computing, Coding & Software Development, Performance Optimization"
128,Senior-HPC-DevOps-Engineer-NVIDIA-UK,Senior HPC DevOps Engineer - NVIDIA AI (UK),Senior,Bachelor's degree,HPC Systems Engineer,Onsite,Europe,$0,NVIDIA,"Slurm, Kubernetes, InfiniBand, Ethernet, Lustre, GPFS, ZFS, XFS, VMware, Hyper-V, KVM, Citrix, AWS, Azure, Google Cloud, Jenkins, Ansible, Puppet, Chef, Python, Bash, Windows, Linux (Redhat, CentOS, Ubuntu), DGX, CUDA, RDMA, RoCE","Slurm, Kubernetes, InfiniBand, Ethernet, Lustre, GPFS, ZFS, XFS, KVM, Jenkins, Ansible, Puppet, Chef, Python, Bash, Windows Server, Linux, CUDA, RDMA, RoCE, AWS, GCP, Azure","Leadership, Communication, Teamwork, Adaptability","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Security & Compliance, Project & Team Leadership, Performance Optimization"
69,HPC-Software-Engineer-SF-Compute,HPC Software Engineer - The San Francisco Compute Company,Senior,Not mentioned,HPC Software Engineer,Hybrid,North America,$0,The San Francisco Compute Company,"Slurm, Kubernetes, KVM, QEMU, libvirt, InfiniBand, RoCEv2, RDMA, Linux, GPU, NICs, PCIe, Python, Bash, Ansible, Terraform","Slurm, Kubernetes, KVM, QEMU, InfiniBand, RoCE, RDMA, Linux, Python, Bash, Ansible, Terraform","Leadership, Communication, Teamwork, Mentorship, Adaptability","System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Containerization & Orchestration, Automation, Performance Optimization"
129,HPC-AI-Engineer-Frontier-ASTAR,"HPC AI Engineer, Frontier - A*STAR (Singapore)",Mid-level,Bachelor's degree,HPC Systems Engineer,Onsite,Asia,$0,A*STAR,"AI, generative models, computer vision, graph neural networks, PyTorch, Tensorflow, JAX, GPU architectures, Linux, HPC job schedulers, container technologies, object storage (S3), Lustre, Python, C/C++, profiler, debugger","PyTorch, Tensorflow, JAX, Linux, Lustre, Python, C, C++","Communication, Teamwork, Problem-solving, Adaptability","Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Coding & Software Development, Research Computing & Scientific Workflow Support, User Support & Training, Performance Optimization"
130,Principal-Staff-HPC-Network-Engineer-SF,Principal/Staff HPC Network Engineer - San Francisco Compute Company,Lead,Not mentioned,HPC Systems Engineer,Onsite,North America,$0,The San Francisco Compute Company,"Ethernet (RoCEv2), InfiniBand, CLOS/fat-tree, eBGP, VXLAN, MCLAG, Linux, KVM, QEMU, libvirt, containers, Kubernetes, data center","Ethernet, RoCE, InfiniBand, Linux, KVM, QEMU, Kubernetes","Leadership, Communication, Teamwork, Mentorship, Adaptability","System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Containerization & Orchestration, Project & Team Leadership, Performance Optimization"
137,Senior-HPC-Performance-AI-Science-NVIDIA-SantaClara,Senior HPC Performance Engineer - AI for Science at Scale - NVIDIA (Santa Clara),Senior,Bachelor's degree,HPC Systems Engineer,Onsite,North America,$0,NVIDIA,"C++, Python, CUDA, OAI Triton, PyTorch, JAX, Warp, HPC, atomistic simulations, parallel programming","C++, Python, CUDA, Triton, PyTorch, JAX, Warp","Leadership, Communication, Teamwork, Self-motivation, Adaptability","Cluster Administration, GPU & Accelerated Computing, Coding & Software Development, Research Computing & Scientific Workflow Support, Performance Optimization"
73,HPC-Performance-Engineer-NVIDIA-Compilers,HPC Performance Engineer - NVIDIA (Compilers & Tools),Lead,Bachelor's degree,HPC Software Engineer,Onsite,North America,$0,NVIDIA,"Fortran, C, C++, OpenACC, OpenMP, MPI, CUDA, linear algebra, numerical methods, performance analysis, parallel architectures","Fortran, C, C++, OpenACC, OpenMP, MPI, CUDA","Leadership, Communication, Teamwork, Problem-solving, Time Management","Cluster Administration, GPU & Accelerated Computing, Coding & Software Development, Research Computing & Scientific Workflow Support, Performance Optimization"
138,DataCenter-Engineer-HPC-NVIDIA-Yokneam,"Data Center Engineer, HPC and AI - NVIDIA (Israel - Yokneam Ilit)",Senior,Not mentioned,HPC Systems Engineer,Onsite,Asia,$0,Jobgether,"MCSE, MCITP, CCNA, Linux, Windows, DHCP, DNS, NIS, AD, Bash, Python, Ansible, puppet, Jenkins, Slurm, KVM, VMware, Hyper-V, L2, L3","Linux, Windows Server, Bash, Python, Ansible, puppet, Jenkins, Slurm, KVM, Hyper-V","Communication, Teamwork, Self-motivation, Problem-solving","System Administration, Networking & Infrastructure, Containerization & Orchestration, Automation, Security & Compliance"
140,Junior-HPC-Network-Engineer-Mistral-Paris,Junior HPC Network Engineer - Mistral (Paris Region),Mid-level,Not mentioned,HPC Systems Engineer,Hybrid,Europe,$0,NVIDIA,"TCP/IP, InfiniBand, RoCE, Mellanox, Cisco, Arista, Ansible, Python, Linux/Unix, AWS, GCP, Azure, Prometheus, Grafana, Wireshark","InfiniBand, RoCE, Ansible, Python, Linux, Prometheus, Grafana, Wireshark","Communication, Teamwork, Problem-solving, Adaptability","System Administration, Networking & Infrastructure, Automation, Monitoring & Observability"
142,HPC-Systems-Engineer-MS-HPC-Pack-India,HPC Systems Engineer - Global Infotech Network Pvt. Ltd. (India),Entry-level,Bachelor's degree,HPC Systems Engineer,Hybrid,Asia,$0,Mistral AI,"Microsoft HPC Pack, Windows Server, PowerShell, Python, Azure HPC, Kubernetes, Terraform, Ansible, CI/CD","Microsoft Pack, Windows Server, PowerShell, Python, Kubernetes, Terraform, Ansible",None explicitly mentioned,"System Administration, Cluster Administration, Containerization & Orchestration, Automation, Cloud Computing"
79,RISC-V-AI-HPC-Engineer-Tenstorrent-NA,RISC-V AI / HPC & Agentic Software Engineering Lead - Tenstorrent (North America),Senior,Not mentioned,HPC Software Engineer,Remote,North America,$300,Tenstorrent,"RISC-V, HPC, AI, C/C++, LLVM, GCC, vectorization, agentic AI frameworks, runtime orchestration, distributed execution systems","RISC-V, C, C++, LLVM, GCC",None explicitly mentioned,"Cluster Administration, GPU & Accelerated Computing, Coding & Software Development, Project & Team Leadership, Performance Optimization"
143,HPC-Engineer-Jobgether-US,HPC Engineer - Jobgether (United States),Mid-level,Bachelor's degree,HPC Systems Engineer,Onsite,North America,$0,Tesla,"Slurm, Grid Engine, AWS, GCP, Ansible, Terraform, CloudFormation, Linux, NFS, SMB, LDAP, AD, DNS, Python, Bash, HPC, scientific computing","Slurm, Grid Engine, Ansible, Terraform, CloudFormation, Linux, NFS, SMB, Python, Bash, AWS, GCP","Leadership, Communication, Teamwork, Adaptability, Problem-solving","System Administration, Cluster Administration, Storage & Data Management, Automation, Cloud Computing, User Support & Training, Performance Optimization"
144,R&D-Engineer-AI-ML-HPC-Cerebras,"Advanced Technology: R&D Engineer - AI/ML, HPC - Cerebras",Mid-level,Not mentioned,HPC Systems Engineer,Remote,North America,$0,Global Infotech Network,"Wafer-Scale Engine, C, Python, AI/ML, HPC, parallel computing, numerical methods, computer architecture, performance engineering","C, Python","Communication, Teamwork, Adaptability, Problem-solving","Cluster Administration, GPU & Accelerated Computing, Coding & Software Development, Research Computing & Scientific Workflow Support, Performance Optimization"
82,Distinguished-Software-Architect-NVIDIA,Distinguished Software Architect - Deep Learning and HPC Communications - NVIDIA,Lead,PhD,HPC Software Engineer,Onsite,North America,$404,NVIDIA,"HPC, MPI, SHMEM, NCCL, NVSHMEM, OpenSHMEM, UCX, UCC, CUDA, InfiniBand, Ethernet, NVLink, PCIe, PyTorch, TensorFlow, C, C++, parallel programming, network design","MPI, SHMEM, NCCL, UCX, CUDA, InfiniBand, Ethernet, NVLink, PyTorch, TensorFlow, C, C++","Leadership, Communication, Teamwork, Adaptability, Problem-solving","Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Coding & Software Development, Project & Team Leadership, Performance Optimization"
83,Senior-Software-Engineer-HPC-NVIDIA,Senior Software Engineer - HPC - NVIDIA,Senior,Bachelor's degree,HPC Software Engineer,Hybrid,North America,$197,NVIDIA,"Go, Java, C, C++, Scala, Python, Elixir, AWS, GCP, Azure, CI/CD, GitOps, IaC, Slurm, Kubernetes","Go, Java, C, C++, Scala, Python, Elixir, Slurm, Kubernetes","Leadership, Communication, Teamwork, Adaptability, Problem-solving","System Administration, Cluster Administration, Containerization & Orchestration, Automation, Cloud Computing, Coding & Software Development, Security & Compliance, Performance Optimization"
145,Product-Development-Engineer-HPC-Vicor,Product Development Engineer - HPC - Vicor,Senior,Bachelor's degree,HPC Systems Engineer,Remote,North America,$0,Jobgether,"MATLAB Simulink, Altium, SPICE, Simplis, Simetrix, Intel VR specifications, analog design, power electronics","Simulink, Altium, SPICE, Simplis, Simetrix","Communication, Teamwork, Adaptability, Problem-solving","Coding & Software Development, Database & Application Management, Project & Team Leadership"
148,HPC-Hardware-Network-Engineer-Quest-Global,HPC Hardware/Network Engineer-- Linux Systems - Quest Global,Mid-level,Bachelor's degree,HPC Systems Engineer,Onsite,North America,$0,National University of Singapore,"SUSE Linux, Salt, Ansible, Bash, Python, Git, Jenkins, InfiniBand, Ethernet, DDR4/DDR5, DIMM, LPDDR, HBM, Linux, hardware, networking","Linux, Salt, Ansible, Bash, Python, Git, Jenkins, InfiniBand, Ethernet","Communication, Teamwork, Problem-solving, Adaptability, Self-motivation","System Administration, Cluster Administration, Storage & Data Management, Networking & Infrastructure, Automation, Performance Optimization"
150,Senior-HPC-AI-Networking-Performance-NVIDIA-Beijing,Senior HPC and AI Networking Performance Research and Analysis Engineer - NVIDIA (Beijing),Senior,Not mentioned,HPC Systems Engineer,Onsite,Asia,$0,Quest Global,"RDMA, MPI, NCCL, RoCE, CUDA, PyTorch, TensorFlow, Python, Bash, C, Linux, LLM, HPC, networking, performance analysis","RDMA, MPI, NCCL, RoCE, CUDA, PyTorch, TensorFlow, Python, Bash, C, Linux","Communication, Teamwork, Problem-solving, Adaptability","Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Coding & Software Development, Monitoring & Observability, Performance Optimization"
